ime,tip,Eventi,lokacija,Kontakt mail,Ustanova ima parking,Dopušten ulazak ljubimcima,Ulaz prilagođen osobama s invaliditetom,WC prilagođen osobama s invaliditetom,Logotip,korisnik ustanove
Hrvatsko narodno kazalište,Gradska ustanova,,Trg Republike Hrvatske 15,hnk@hnk.hr,checked,,checked,checked,,Aleksandar Gavrilović
Muzej suvremene umjetnosti ,Gradska ustanova,"Picelj i prijatelji,Zbirka kao glagol,Kino na rubu,""Antisezona, blok u studenom, """"Koreokon""""""","Avenija Dubrovnik 17, 10000 Zagreb ",media@msu.hr ,checked,,checked,checked,msu-dvojezicni-logo.png (https://v5.airtableusercontent.com/v3/u/35/35/1732312800000/bA0Mvn3AbTOQtOABIW04Eg/oGBgkyOwN8Meyy6OKx4kJ8hTHTQd6nCxCKF9npmKMIAz8jXDka5jiANlBWinI0Q2hIgaIBcG1HqibJjtyr19Ol3KAmu35qKFG1JmTqN1n3-ZEV5_Mogu-x2GCGIo1wGB4nWWz8kVFxQWnm2geAfDq6xoCgUGGCQ1YsNT_-NkpKs/vtUbmk85fPEiifCrVbXR8KRzPzByjeXs8mdS2CeLNjU),
Hrvatski prirodoslovni muzej,Gradska ustanova,,Demetrova 1,branimir.ivic@hpm.hr,,,checked,checked,HPM_znak.png (https://v5.airtableusercontent.com/v3/u/35/35/1732312800000/n2ffrY_MBQAe-omnj6mHMw/rsAAOSS_2pf32DdQ1ZzHPtKLEGrmB7c1oHrVlXscd0YpJ2f-b23k0K5b85VmWqg01oz6HdxwwCQIcwU7DyunwS-uxrob3-brvvlyMhbEW-XZaOeCniS-RGd-g9kp6gXV5mCVLxNPMlCDCI_fNX_8_9_pAsOTFL9HUBMGmgq1Kpo/gybPA2NDd-TwEaJ4E-PIDSWbLjnscPXgKY4tXytSDjs),
Muzej Prigorja,Gradska ustanova,,"Trg Dragutina Domjanića 5, 10360 Sesvete",info@muzejprigorja.hr,checked,checked,,,mp-zlatni.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732312800000/HNZbqyt3cqpVaS4gFO1FqA/fi2D5Cl1RPP_7tsgvlnoPOqdLEtojVgVigugxFAoDY_SDZN1puKTKRWzQXpmEdWNyvv5ZJkOvOqrA0X5-p0fvseNA5alTIns-ZPcyn8dBnFmUQ0ti9zm3Jp3INjPLznZ8O4lVIK47VY35jNLUKqt62re6N3qTYhruSx9-jhUz84/BHGzlIFt_yy_KCLmhccaMoeR8a8jJjC_SHYgx9e2edQ),
CENTAR ZA LIKOVNI ODGOJ GRADA ZAGREBA,Gradska ustanova,,"ROKOV PERIVOJ 4, 10 000 ZAGREB",info@czlogz.hr,,,,,logo Centra.docx (https://v5.airtableusercontent.com/v3/u/35/35/1732312800000/2PPLDX49nLAL840nv-kw5Q/Y5GfOYrcfBySXHaAKnHA8sZ9CuDJrLNpCK4hoq7iLqs4eP1P6KhSPKMfDMuMP5z51Qy7QGp52GoiUcLSpVdxiy1Hq4o3fd5nyp8hmUq0nxjfC52uH9gBeXRTAUfUiFGlsobtwnR6b-oSTyyMDl1aK7BLmjWyY18Ar5iR0I1ZUW8/l6XUXcBM6kWtAecsndoEiIUpmMzR_crsPlgHjvKp-3M),
Tehnički muzej Nikola Tesla,Gradska ustanova,"Porodica,rad",Savska cesta 18,info@tmnt.hr,,,checked,checked,TMNT.pdf (https://v5.airtableusercontent.com/v3/u/35/35/1732312800000/6NUKy9qyZx1x4wkuc0-00g/A-DM4umSbvVJLbBuRe3yjfGTtRA2c5fph58h7P37NGhbNbvLgtRXe75DamcRdhDwhk7NeYGC0l9qWkv81MVeX8bce9zwTGz7ESjd9PY4cu3fpie8-H1KfS4b--fsQoZmXPpvoN396cwciKV0PCSY6A/XN8mta8fIsMhqrt_BCH0aGXFwZhMpAqlHfoG4rZ_maA),
Muzej suvremene umjetnosti,Gradska ustanova,,Avenija Dubrovnik 17,msu@msu.hr,checked,,checked,checked,LOGO MSU.pdf (https://v5.airtableusercontent.com/v3/u/35/35/1732312800000/6iCFJ90vJYJMU3bTQrkTOw/aD9yh8d6LcXh9-Fmhi4Fkq2A4LepyNnhAtO6cj-m-8gOkIA6Up4CD4rSRdFhfC1uueGHR2lWh6RN0Kh5VmoUbG08PQHlci6UCuDJIrJos7tVZ90VWBoc-lDH_2YDnr5tSNMwPSAn317lnDruy1g8RetdEf9pbKYF4DIk_dBaCRM/DXS4dD26Byvv3TXDCwCMEhznXSHi0S-3fRbHt0WYDDA),
Muzej za umjetnost i obrt,Gradska ustanova,,Trg Republike Hrvatske 10,uprava@muo.hr,,,,,MUO_logo_cisti – manji.jpg (https://v5.airtableusercontent.com/v3/u/35/35/1732312800000/uhfpglmL_jRO27xh1Ugq2w/e0nf1mYljS7wLi6jy82yOBonL-9mBFeOIDucstqIv1bMC96HuyU0EkfCSlz9BaeE1g7f49QFEs5uUSR5xl9qAgOSlUlfqTVKADicOqsUIbW2h96Tgk8jHdoIFfkVxWY83iIaC_h_bTv7GUmI4pvcp9cjQ_YfyTGBE4AQIxn4w80/cvCwVdGZB4XjdgvxuLFGUT0TxEf8Lse8eJ8IGh_HNH0),
HRVATSKO NARODNO KAZALIŠTE U ZAGREBU,Drugo,,TRG REPUBLIKE HRVATSKE 15,miro.marketing@hnk.hr,,,checked,,HNK LOGO.pdf (https://v5.airtableusercontent.com/v3/u/35/35/1732312800000/KRO34lZ6N8EjBuvvC2FotA/XFmFFgMZsizCsdvUGjdzxOU8G9_l4Lu25HFhCA6nJlFhJw7hiCljEQoVR1Jy4SUPd_veR0ifZkMIhU8yVclOgWPDaTr4w4TKWyGpOBy_khiBEcJu122ynN9Nt_uMn-q3sAEwoxUFw_3Ulz5A7JMk9nhByB0NmPt3_bCnLjoexvg/5Nt98UXzR6wDorAMSfJG50FPpDBpGKgzskPoh5G6QEo),
Gradsko dramsko kazalište Gavella,Gradska ustanova,"Prosjacka,Medeja,Sokol,Sokol,Sokol","Frankopanska 10, 10 000 Zagreb",niko.babajko@gavella.hr,,,checked,checked,gavella-logotip-cc-03-orginal.png (https://v5.airtableusercontent.com/v3/u/35/35/1732312800000/GBIHJXdZGmQZRPr66cLeZQ/w9h_WSIhoUTsQJuJj0xRhTK9Wkq1Ktluo7bWrelDOGF8mvd9xPx79Jz5VTXBbBrZZEJb8y5LN_iasJWT1AU5g3AHKdOjl7xSqi3S_MBtRZSG0-L2TjS1vhefUX8TAYQYRSfkXLwbO4J83JRSd2LUVHzO2hvRuyQDxzIUc7EODpU8kNoxJKmlyxdSmngeg_Jy/f28zqC_DmBRk-ldng5OqEUIvCV3OhjxMvLTElejXeHM),
